Asset,Date,Open,High,Low,Close,Adj Close,Volume
BTC,16/08/2022,"24,096.73","24,225.30","23,742.23","23,868.66","23,868.66","28,522,362,880"
BTC,15/08/2022,"24,318.32","25,135.59","23,839.78","24,136.97","24,136.97","35,123,501,685"
BTC,14/08/2022,"24,429.06","24,974.91","24,206.26","24,319.33","24,319.33","22,994,133,555"
BTC,13/08/2022,"24,402.19","24,860.05","24,346.12","24,424.07","24,424.07","22,987,346,289"
BTC,12/8/22,"23,957.20","24,412.57","23,657.27","24,402.82","24,402.82","27,265,804,688"
ETH,16/08/2022,"1,898.37","1,910.49","1,862.74","1,884.40","1,884.40","16,057,827,328"
ETH,15/08/2022,"1,936.76","2,007.21","1,881.86","1,904.23","1,904.23","20,349,931,313"
ETH,14/08/2022,"1,981.78","2,022.79","1,919.01","1,936.80","1,936.80","14,062,754,456"
ETH,13/08/2022,"1,957.33","2,013.76","1,948.60","1,981.34","1,981.34","16,038,975,216"
ETH,12/8/22,"1,880.90","1,957.55","1,860.08","1,957.25","1,957.25","17,168,141,904"
USDT,16/08/2022,1.0002,1.0003,1.0001,1.0001,1.0001,"48,367,751,168"
USDT,15/08/2022,1.0003,1.0004,1.0001,1.0002,1.0002,"57,703,388,667"
USDT,14/08/2022,1.0004,1.0004,1.0002,1.0003,1.0003,"43,866,838,979"
USDT,13/08/2022,1.0003,1.0006,1.0002,1.0004,1.0004,"41,593,883,061"
USDT,12/8/22,1.0004,1.0005,1.0002,1.0003,1.0003,"46,783,370,955"
USDC,16/08/2022,0.99982,1.000169,0.999631,0.999885,0.999885,"6,544,270,848"
USDC,15/08/2022,0.999882,1.000261,0.999459,0.999949,0.999949,"7,302,904,711"
USDC,14/08/2022,0.999952,1.000171,0.999558,0.999848,0.999848,"4,448,890,165"
USDC,13/08/2022,1.000041,1.00016,0.999671,0.999952,0.999952,"5,445,129,024"
USDC,12/8/22,0.999884,1.000279,0.999651,1.000067,1.000067,"6,575,377,525"
BNB,16/08/2022,319.19,321.91,314.2,315.68,315.68,"997,817,728"
BNB,15/08/2022,318.03,326.83,314.86,319.89,319.89,"1,141,553,086"
BNB,14/08/2022,323.97,330.81,316.66,317.99,317.99,"936,178,150"
BNB,13/08/2022,327.57,332.52,323.48,323.87,323.87,"991,712,327"
BNB,12/8/22,323.77,327.51,318.27,327.51,327.51,"980,643,843"
XRP,16/08/2022,0.37538,0.37742,0.368388,0.37368,0.37368,"914,148,096"
XRP,15/08/2022,0.376451,0.384781,0.367961,0.375774,0.375774,"1,046,905,199"
XRP,14/08/2022,0.377999,0.39093,0.375888,0.376451,0.376451,"754,512,693"
XRP,13/08/2022,0.379974,0.386038,0.377452,0.377964,0.377964,"590,320,028"
XRP,12/8/22,0.380538,0.380538,0.371483,0.379995,0.379995,"923,071,430"
ADA,16/08/2022,0.550014,0.569267,0.549157,0.559256,0.559256,"763,514,432"
ADA,15/08/2022,0.570386,0.58101,0.545605,0.551171,0.551171,"876,107,175"
ADA,14/08/2022,0.559819,0.593898,0.557554,0.570343,0.570343,"1,180,283,864"
ADA,13/08/2022,0.540708,0.566392,0.538688,0.559813,0.559813,"930,190,208"
ADA,12/8/22,0.531195,0.541442,0.522035,0.540753,0.540753,"538,287,825"
BUSD,16/08/2022,0.999644,1.000462,0.999553,0.99994,0.99994,"5,737,306,112"
BUSD,15/08/2022,0.99993,1.000467,0.999565,0.999856,0.999856,"6,209,795,580"
BUSD,14/08/2022,1.00021,1.000361,0.999457,0.999858,0.999858,"5,112,255,401"
BUSD,13/08/2022,0.999864,1.000265,0.999487,1.000263,1.000263,"5,407,307,110"
BUSD,12/8/22,0.999849,1.000384,0.99934,0.999839,0.999839,"5,193,684,859"
SOL,16/08/2022,43.7,44.19,42.82,43.43,43.43,"1,205,047,808"
SOL,15/08/2022,44.92,47.13,42.91,43.82,43.82,"1,364,253,429"
SOL,14/08/2022,46.51,47.96,44.69,44.92,44.92,"1,061,034,922"
SOL,13/08/2022,45.34,48.18,45.34,46.49,46.49,"1,416,039,040"
SOL,12/8/22,42.82,45.38,42.23,45.33,45.33,"1,128,246,063"
DOT,16/08/2022,8.7795,8.8972,8.6603,8.792,8.792,"371,877,152"
DOT,15/08/2022,8.9594,9.3696,8.6538,8.8024,8.8024,"515,446,124"
DOT,14/08/2022,9.2921,9.5443,8.8671,8.9585,8.9585,"553,281,526"
DOT,13/08/2022,9.4788,9.6566,9.2682,9.2904,9.2904,"359,798,888"
DOT,12/8/22,9.2085,9.485,9.0721,9.4795,9.4795,"544,819,917"